Sr. No.,OEM Type,OEM Name,City/District,State,Contact Phone,Contact Email,Uses ABB Motors,Source/Notes
166,Conveyors - Belt Conveyors,Akshay Engineering,Ahmedabad,Gujarat,+91-8046032953,N/A,Unknown,Belt conveyor manufacturing
167,Conveyors - Belt Conveyors,Amar Fabricators & Engineers,Ahmedabad,Gujarat,+91-8044566903,N/A,Unknown,Belt conveyor fabrication
168,Conveyors - Flat Belt Conveyor,Kiran Rubber,Surat,Gujarat,+91-7942539203,N/A,Unknown,Flat belt conveyor manufacturer
169,Conveyors - Belt Conveyors,Rank One Industries,Rajkot,Gujarat,+91-8048263915,N/A,Unknown,Belt conveyor manufacturing
170,Conveyors - Belt Conveyor Components,Hightech Automation And Software Technology,Ahmedabad,Gujarat,+91-8048977382,N/A,Unknown,Automation and conveyor components
171,Conveyors - Conveyor Systems,Radheiot Techno Private Limited,Vadodara,Gujarat,+918046037360,N/A,Unknown,Conveyor technology systems
172,Conveyors - Conveyor Systems/Material Handling,RP Automation,Vadodara,Gujarat,+917949373375,N/A,Unknown,Automation and material handling
173,Conveyors - Belt Conveyor System,Mahi Systems Private Limited,Vadodara,Gujarat,+918048967050,N/A,Unknown,Belt conveyor systems
174,Conveyors - Vertical Stacker/Mobile Conveyor,Panchal Production,Vadodara,Gujarat,+918048963347,N/A,Unknown,Vertical and mobile conveyor systems
175,Conveyors - Belt Conveyors,Kokund Engineers Private Limited,Vadodara,Gujarat,+917949322652,N/A,Unknown,Belt conveyor engineering
176,Conveyors - Conveyor Systems,SMT Conveyors And Automations,Bengaluru,Karnataka,+917942836598,N/A,Unknown,Conveyor automation systems
177,Conveyors - Conveyor Systems,Loknath Engineering,Kolkata,West Bengal,+918046045188,N/A,Unknown,Conveyor engineering systems
178,Conveyors - Conveyor Systems,S.G. Packaging And Coding Co.,Kolkata,West Bengal,+918048603440,N/A,Unknown,Packaging and conveyor systems
179,Conveyors - Conveyor Systems,Flexitech Engineering,Kolkata,West Bengal,+918048263934,N/A,Unknown,Flexible conveyor engineering
180,Conveyors - Modular Belt Conveyor,Prime Equipment And Plant Automation,Kolkata,West Bengal,+918047630995,N/A,Unknown,Modular conveyor systems
181,Conveyors - Conveyor Systems,Alpha Beltech & Systems,Kolkata,West Bengal,+918046043280,N/A,Unknown,Belt technology and conveyor systems
182,Conveyors - Screw Conveyor,JD Roto Engineering,Kolkata,West Bengal,+918047623589,N/A,Unknown,Screw conveyor specialist
183,Conveyors - UV Sanitization Conveyor,H. S. Engineers,Kolkata,West Bengal,+918048950903,N/A,Unknown,Specialized sanitization conveyors
184,Conveyors - Conveyor Systems,Psquare Technologies,Kolkata,West Bengal,+918046077012,N/A,Unknown,Technology-driven conveyor systems
185,Conveyors - Belt Process Line Conveyors,Pragati Industries,East Kolkata Township,West Bengal,+918048956436,N/A,Unknown,Process line conveyor systems
186,Conveyors - Conveyor Systems,M D Conveyor Systems,Pune,Maharashtra,+917942554613,N/A,Unknown,Conveyor systems manufacturer
187,Conveyors - Material Handling System,Samarth Conveyors,Mumbai,Maharashtra,+918047691014,N/A,Unknown,Material handling and conveyor systems
188,Conveyors - Belt Conveyors,RS Industrial Solutions,New Delhi,Delhi,+918048956022,N/A,Unknown,Industrial belt conveyor solutions
189,Conveyors - Conveyor Systems,Anton Automation Private Limited,Delhi,Delhi,+918048977003,N/A,Unknown,Automation and conveyor systems
190,Conveyors - Bottling Plants Conveyor,Radix Industries,Kanpur,Uttar Pradesh,+918046063384,N/A,Unknown,Bottling plant conveyor specialist
191,Conveyors - Vertical Conveyors,M/S Vishnu Engineering,Kanpur,Uttar Pradesh,+918047638476,N/A,Unknown,Vertical conveyor systems
192,Conveyors - Vertical Conveyors,Daifuku Intralogistics India Private Limited,Hyderabad,Telangana,+91-8044566431,N/A,Unknown,Japanese vertical conveyor technology
193,Conveyors - Vertical Reciprocating Conveyors,Introcon Conveyor Systems,Hyderabad,Telangana,+91-8047673339,N/A,Unknown,Vertical reciprocating conveyor systems
194,Fans/Blowers - Industrial/Commercial Fans,Havells India Ltd.,Noida,Uttar Pradesh,0120-3331000,N/A,Potential,Major electricals company offering a wide range of fans; ABB is a logical high-quality motor supplier
195,Fans/Blowers - Industrial/Commercial Fans,Crompton Greaves Consumer Electricals Ltd.,Mumbai,Maharashtra,+91 22 61678499,N/A,Potential,Leading fan manufacturer and a major player in the electric motor market
196,Fans/Blowers - Industrial/Commercial Fans,Usha International Ltd.,Gurgaon,Haryana,0124-4583100,N/A,Potential,Major brand in home and industrial appliances including fans; likely to source from established motor suppliers
197,Fans/Blowers - Centrifugal/Axial Fans,Usha Die Casting Industries (Blowerfab),Surat,Gujarat,N/A,N/A,Potential,Top-notch manufacturer of a wide range of industrial fans and blowers under the SYMBIOSIS brand
198,Fans/Blowers - Industrial Blowers/Fans,Mittal Blowers India,Ahmedabad,Gujarat,N/A,N/A,Potential,Leading manufacturer of industrial air blower machines and fans in a key industrial hub
199,Fans/Blowers - Centrifugal/Axial Fans,Eminent Blowers,Pune,Maharashtra,N/A,N/A,Potential,Highly acclaimed manufacturer of industrial centrifugal blowers and axial fans
200,Fans/Blowers - Centrifugal Fans/Blowers,Techflow Enterprises,N/A,N/A,N/A,N/A,Potential,Manufacturer of dust collection systems and centrifugal fans/blowers
201,Fans/Blowers - Industrial Fans/Blowers,Reitz India,N/A,N/A,N/A,N/A,Potential,Renowned for manufacturing centrifugal and axial flow fans
202,Fans/Blowers - Industrial Fans,NADI Airtechnics,N/A,N/A,N/A,N/A,Potential,Manufactures light and medium duty industrial fans
203,Fans/Blowers - Industrial Blowers,Dynavac,N/A,N/A,N/A,N/A,Potential,Provider of ring blowers and centrifugal blowers
204,Fans/Blowers - Industrial Blowers,Kay International Pvt Ltd,Gurugram/Sonipat,Haryana,N/A,N/A,Potential,Leading manufacturer of industrial blowers including centrifugal and roots blowers
205,Fans/Blowers - Centrifugal/Axial Fans,R. K. Engineering Works,Mumbai,Maharashtra,+91 9870 065 912,rkengworks.in@gmail.com,Potential,Manufacturer of centrifugal fans tube axial fans and fume/dust extraction systems
206,Fans/Blowers - Axial Fans/Centrifugal Blowers,V B M Enterprises,Mumbai,Maharashtra,N/A,N/A,Potential,Manufacturer of external rotor motors axial flow fans and centrifugal blowers
207,Fans/Blowers - Ring Blowers,Raico Engineers,Mumbai,Maharashtra,N/A,N/A,Potential,Manufacturer of ring blowers and industrial filters
208,Fans/Blowers - Centrifugal/Axial Fans,Shree Udyog,Mumbai,Maharashtra,N/A,N/A,Potential,Manufacturer of turbine blowers exhausters centrifugal blowers and axial flow fans
209,Fans/Blowers - Centrifugal Blowers/Axial Fans,Shivastar Systems,Mumbai,Maharashtra,N/A,N/A,Potential,Manufacturer of inlet blowers backward curve blowers and axial fans
210,Fans/Blowers - Centrifugal/Axial Fans,Humi Air Systems Pvt. Ltd.,New Delhi,Delhi,N/A,N/A,Potential,Manufacturer of centrifugal fans and axial flow fans
211,Fans/Blowers - Fans & Blowers,Aero Therm Systems Pvt. Ltd.,Ahmedabad,Gujarat,N/A,N/A,Potential,Manufacturer of a variety of industrial heating systems fans and blowers
212,Fans/Blowers - Axial Flow Fans,Axialo Industries,Bengaluru,Karnataka,N/A,N/A,Potential,Manufacturer of axial flow fans tube axial type and roof exhausters
213,Fans/Blowers - Industrial Blowers,Chakshu Engineering,Ahmedabad,Gujarat,N/A,N/A,Potential,Manufacturer of exhaust ventilators and motor cooling blowers
214,Fans/Blowers - Air Blowers,Yash Blowers Private Limited,Faridabad,Haryana,N/A,N/A,Potential,Manufacturer of a wide range of industrial air blowers
215,Fans/Blowers - FRP Centrifugal Blowers,D.M. Engineering Co.,N/A,N/A,N/A,N/A,Potential,ISO certified manufacturer of FRP centrifugal blowers and suction blowers
216,Fans/Blowers - Industrial Axial Fan,RE Blowers India Private Limited,Mumbai,Maharashtra,9821855724,sales@reblowers.com,Potential,ISO certified manufacturer of air blowers and vacuum blowers
217,Fans/Blowers - Industrial Air Blower,Shalin Composites (India) Private Limited,Palghar,Maharashtra,N/A,N/A,Potential,ISO certified manufacturer of industrial air blowers with a global export network
218,Fans/Blowers - Twin Lobe Air Blower,Rootech Services,Greater Noida,Uttar Pradesh,N/A,N/A,Potential,Manufacturer of industrial air blowers and twin lobe root blowers
219,Fans/Blowers - Industrial Man Cooler Fans,United Air Tech Industries,Mumbai,Maharashtra,+91-22-28571126,info@unitedairtechinds.in,Potential,Manufacturer of centrifugal fans PP/FRP blowers and tube axial fans
220,Fans/Blowers - High-Pressure Blowers,Mechno Tech,Dewas,Madhya Pradesh,N/A,N/A,Potential,Manufacturer of high-pressure blowers and SS mirror-finished blowers
221,Fans/Blowers - Centrifugal Blower,Deepti Air Systems,Mumbai,Maharashtra,N/A,N/A,Potential,Manufacturer of centrifugal blowers for exhaust gases and pneumatic conveying
222,Fans/Blowers - Centrifugal Blower,AS Engineers,N/A,N/A,N/A,N/A,Potential,Manufacturer of high-pressure low-pressure and custom-designed centrifugal blowers
223,Fans/Blowers - Industrial Blowers,Blowtech Engineers Private Limited,Vasai,Maharashtra,N/A,N/A,Potential,Manufacturer of hot air blowers and industrial portable blowers
224,Fans/Blowers - Cooling Tower Fan,Manvi Textiles Air Engineers Pvt Ltd,Mumbai,Maharashtra,N/A,textair@hotmail.com,Potential,Manufacturer of FRP cooling tower fans for industrial use
225,Fans/Blowers - Force Draft Fan,Laxmi Udyog,Mumbai,Maharashtra,+(91)-(22)-29271110,laxmiudyog12@gmail.com,Potential,Manufacturer of V-Belt driven force draft fans for industrial applications
226,Fans/Blowers - Hot Air Fan,B. D. Fans And Enviro Engineering,Kolkata,West Bengal,+91 9830325077,das.bdair@gmail.com,Potential,Manufacturer of hot air fans for industrial use
227,Fans/Blowers - HVLS Fan,Ecoair Cooling Systems Private Limited,Pune,Maharashtra,+91 99229 39101,sales@ecoair.co.in,Potential,Manufacturer of PMSM 24 ft HVLS fans
228,Fans/Blowers - Boiler Centrifugal Fans,Aerotech Equipments And Projects Private Limited,Greater Noida,Uttar Pradesh,+91-9810162210,sales@aerotechfans.in,Potential,Manufacturer of duct and wall mounted boiler centrifugal fans
229,Fans/Blowers - Industrial Fan,Bharat Ventilation Systems,Gautam Buddha Nagar,Uttar Pradesh,+91 7386 535353,contact@bharatgroup.com,Potential,Manufacturer of wall mount industrial fans for ventilation
230,Fans/Blowers - Commercial Fans,Atomberg Technologies Pvt Ltd,Navi Mumbai,Maharashtra,844 844 9442,support@atomberg.com,Potential,Primary member of IFMA manufactures a range of fans
231,Fans/Blowers - Commercial Fans,Bajaj Electricals Ltd.,Mumbai,Maharashtra,022-4128 0000,consumercare@bajajelectricals.com,Potential,Primary member of IFMA manufactures a wide range of fans
232,Fans/Blowers - Commercial Fans,Orient Electric Ltd.,New Delhi,Delhi,0120-4147414,N/A,Potential,Primary member of IFMA manufactures a wide range of fans
233,Fans/Blowers - Commercial Fans,Polar Elektric Ltd.,Kolkata,West Bengal,033-66291892,N/A,Potential,Primary member of IFMA manufactures a range of fans
234,Fans/Blowers - Commercial Fans,Polycab India Ltd.,Mumbai,Maharashtra,022-67351400,N/A,Potential,Primary member of IFMA manufactures a range of fans
235,Fans/Blowers - Commercial Fans,Surya Roshni Limited,New Delhi,Delhi,011-25810093-96,N/A,Potential,Primary member of IFMA manufactures a range of fans
236,Fans/Blowers - Commercial Fans,V-Guard Industries Ltd.,Kochi,Kerala,1800-103-1300,customercare@vguard.in,Potential,Primary member of IFMA manufactures a range of fans
237,Fans/Blowers - Roots Blower,Jyoti Airtech Engineers,Ahmedabad,Gujarat,N/A,N/A,Potential,Manufacturer of roots blowers for ETP/STP plant aeration
238,Fans/Blowers - Industrial Roots Blowers,Leelam Industries,Ahmedabad,Gujarat,N/A,N/A,Potential,Manufacturer of industrial roots blowers
239,Fans/Blowers - Industrial Centrifugal Fans,EVG ENGICON AIRTECH PVT. LTD.,Pune,Maharashtra,20-27690606,N/A,Potential,Manufacturer of low medium and high-pressure centrifugal fans/blowers
240,Fans/Blowers - Axial Flow Fan/Industrial Blowers,RAJ ENTERPRISE,Palghar,Maharashtra,0-9769759167,N/A,Potential,Manufacturer of axial flow fans and industrial blowers
241,Fans/Blowers - OEM Fans,SYS Electromac,Hyderabad,Telangana,N/A,N/A,Potential,OEM partner for leading fan brands like V-Guard and Usha
242,Fans/Blowers - Industrial/Centrifugal Fans,Alfa Fans,Mumbai,Maharashtra,+91 9967628344,N/A,Potential,Manufacturer of industrial pedestal fans exhaust fans and centrifugal blowers
243,Fans/Blowers - HVLS/Exhaust Fans,Marut Air,Ahmedabad,Gujarat,+91 63582 54966,ops9@marutair.com,Potential,Manufacturer of big industrial fans gearless HVLS fans and exhaust fans
244,Gearboxes - Industrial Gearbox Manufacturer,Shanthi Gears Limited,Coimbatore,Tamil Nadu,N/A,N/A,Potential,Leading industrial gearbox manufacturer
245,Gearboxes - Industrial Gearbox Manufacturer,Teksmithe,Ghaziabad,Uttar Pradesh,N/A,N/A,Potential,Industrial gearbox and transmission systems
246,Gearboxes - Helical Gearbox Manufacturer,Kavitsu Gear Industry,Satara,Maharashtra,+91-2162-240824,N/A,Potential,Helical gearbox specialist
247,Gearboxes - Worm Gearbox Manufacturer,JS Gears,Ahmedabad,Gujarat,N/A,N/A,Potential,Worm gearbox manufacturer
248,Gearboxes - Industrial Gearbox Manufacturer,Elecon Engineering Company Ltd,Anand,Gujarat,9909917113,infoepc@elecon.com,Yes,Confirmed ABB motor usage
249,Gearboxes - Planetary Gearbox Manufacturer,Top Gear Transmissions,Satara,Maharashtra,+91-2162-240642,sales@topgeartransmission.com,Potential,Planetary gearbox specialist
250,Gearboxes - Industrial Gearbox Manufacturer,Rossi Gearmotors (India) Pvt Ltd,Coimbatore,Tamil Nadu,N/A,N/A,Potential,Italian gearmotor technology
251,Gearboxes - Industrial Gearbox Manufacturer,Ronak Engineers,Vasai East/Thane,Maharashtra,N/A,N/A,Potential,Industrial gearbox engineering
252,Gearboxes - Industrial Gearbox Manufacturer,Paarc Industries,Belgaum,Karnataka,N/A,N/A,Potential,Industrial gearbox manufacturer
253,Gearboxes - Industrial Gearbox Manufacturer,Transtech Gears Private Limited,Bengaluru Rural,Karnataka,+91-8867080712,mkt@transtechgears.com,Potential,Gear transmission technology
254,Gearboxes - Industrial Gearbox Manufacturer,MGM-Varvel Power Transmission Private Limited,Chennai,Tamil Nadu,N/A,N/A,Potential,Power transmission systems
255,Gearboxes - Industrial Gearbox Manufacturer,Rotomotive Powerdrives India Limited,Anand,Gujarat,N/A,umesh@rotomag.com,Potential,Power transmission and drives
256,Gearboxes - Industrial Gearbox Manufacturer,NORD Drivesystems Private Limited,Pune,Maharashtra,+91 (0)20-3980 1200,India@nord.com,Potential,German drive technology
257,Gearboxes - Industrial Gearbox Manufacturer,New Delta Gear Manufacturers Private Limited,Chennai,Tamil Nadu,+91 44 2225 3608,info@newdeltagears.com,Potential,Gear manufacturing specialist
258,Gearboxes - Industrial Gearbox Manufacturer,Bharat Gears Limited,N/A,N/A,N/A,N/A,Uncertain,Industrial gearbox manufacturer
259,Gearboxes - Conveyor System Manufacturer,Somi Conveyor Beltings Ltd.,Jodhpur,Rajasthan,+91-9549658388,sales@somiconveyor.com,Potential,Conveyor systems with gearbox applications
260,Gearboxes - Conveyor System Manufacturer,Continental Belting Pvt. Ltd.,Mumbai,Maharashtra,+91-7738455669,sales@continentalbelting.com,Potential,Conveyor systems requiring gearboxes
261,Gearboxes - Conveyor System Manufacturer,Pentagon Rubber Private Limited,New Delhi,Delhi,+91 11 43504299,sales@pentagonrubber.com,Potential,Belt and conveyor systems
262,Gearboxes - Conveyor System Manufacturer,Fabmax Enterprises,Pune,Maharashtra,+91 9881640597,info@fabmaxindia.com,Potential,Material handling systems with gearboxes
263,Gearboxes - Conveyor System Manufacturer,Maschinen Fabrik India,Kolkata,West Bengal,N/A,N/A,Potential,Material handling and conveyor systems
264,Gearboxes - Conveyor System Manufacturer,Bastian Solutions,Bengaluru,Karnataka,+91 89 5139 5602,N/A,Potential,Industrial automation and conveyor systems
265,Gearboxes - Conveyor System Manufacturer,Beacon Engineers,Nagpur,Maharashtra,+91-07104-295510,beaconeng@rediffmail.com,Potential,Conveyor automation systems
266,Gearboxes - Conveyor System Manufacturer,NKC India,Gurugram,Haryana,91-0124-4084426,contact@nkc-india.com,Potential,Conveyor systems manufacturer
267,Gearboxes - Conveyor System Manufacturer,ArSai Conve Systems,Ghaziabad,Uttar Pradesh,+91-9811772712,arsaiconveyor@gmail.com,Potential,Conveyor systems engineering
268,Gearboxes - Conveyor System Manufacturer,Excel Conveyors,Pune,Maharashtra,+91 9822957645,sales@Econveyors.in,Potential,Industrial conveyor solutions
269,Gearboxes - Conveyor System Manufacturer,Rollwell Conveyor Pvt. Ltd.,Hindupur,Andhra Pradesh,+91-9379372704,mktg@rollwell.net,Potential,Bulk material handling systems
270,Gearboxes - Conveyor System Manufacturer,Tsubaki Conveyor Systems India,Pune,Maharashtra,+91 20 67928400,TCSI@tsubaki-conveyor.in,Potential,Japanese conveyor technology
271,Gearboxes - Conveyor System Manufacturer,Deccan Mechanical and Chemical Industries,Pune,Maharashtra,+91 20 27120994,dmciho@demechindia.com,Potential,Material handling systems
272,Gearboxes - Conveyor System Manufacturer,Orange Conveyor Systems,Chennai,Tamil Nadu,+918048204402,N/A,Potential,Conveyor systems manufacturer
273,Gearboxes - Conveyor System Manufacturer,Samarth Conveyors,Mumbai,Maharashtra,+918047691014,N/A,Potential,Material handling and conveyor systems
274,Gearboxes - Conveyor System Manufacturer,M D Conveyor Systems,Pune,Maharashtra,+917942554613,N/A,Potential,Conveyor systems manufacturer
275,Gearboxes - Conveyor System Manufacturer,SMT Conveyors And Automations,Bengaluru,Karnataka,+917942836598,N/A,Potential,Conveyor automation systems
276,Gearboxes - Conveyor System Manufacturer,Loknath Engineering,Kolkata,West Bengal,+918046045188,N/A,Potential,Engineering and conveyor systems
277,Gearboxes - Conveyor System Manufacturer,S.G. Packaging And Coding Co.,Delhi/Bahadurgarh/Kanpur/Jaipur/Kolkata,NCR/Haryana/UP/Rajasthan/West Bengal,+918048603440,N/A,Potential,Packaging and conveyor systems
278,Gearboxes - Conveyor System Manufacturer,Flexitech Engineering,Bhiwadi/Ghaziabad/Jaipur/Kanpur/Kolkata,Rajasthan/UP/NCR/West Bengal,+918048263934,N/A,Potential,Flexible conveyor engineering
279,Gearboxes - Conveyor System Manufacturer,H. S. Engineers,Bhiwadi/Bahadurgarh/Faridabad/Jaipur/Kanpur/Kolkata/New Delhi,Rajasthan/Haryana/NCR/UP/West Bengal,+918048950903,N/A,Potential,Engineering and conveyor systems
280,Gearboxes - Conveyor System Manufacturer,Jaytex International,Jaipur/Kanpur/Kolkata/Faridabad/Ghaziabad/New Delhi,Rajasthan/UP/West Bengal/NCR,+918048615046,N/A,Potential,International conveyor systems
281,Gearboxes - Conveyor System Manufacturer,Pal Innovations Private Limited,Bhiwadi/Faridabad/Jaipur/New Delhi,Rajasthan/NCR,+918048951244,N/A,Potential,Innovative conveyor solutions
282,Gearboxes - Conveyor System Manufacturer,Bandma Equipcorp Limited,Bahadurgarh/New Delhi,Haryana/NCR,+918048955834,N/A,Potential,Equipment and conveyor systems
283,Gearboxes - Conveyor System Manufacturer,Aline Conveyors Private Limited,Bhiwadi/New Delhi,Rajasthan/NCR,+918046042014,N/A,Potential,Conveyor systems manufacturer
284,Gearboxes - Material Handling Equipment,Majboot Material Handling Private Limited,Ahmedabad,Gujarat,+91-79-25396240,info@majbootmhe.com,Potential,Material handling equipment with gearbox applications
285,Gearboxes - Compressor Manufacturer,Kirloskar Pneumatic Company Limited,Pune,Maharashtra,N/A,N/A,Potential,Compressor systems requiring gearboxes
286,Gearboxes - Compressor Manufacturer,ELGi Equipments Limited,Coimbatore,Tamil Nadu,1800-425-3544,enquiry@elgi.com,Potential,Air compressor systems
287,Gearboxes - Compressor Manufacturer,FS-Curtis India,Pune,Maharashtra,+91 8956964864,N/A,Potential,Air compressor technology
288,Gearboxes - Compressor Manufacturer,Ingersoll Rand India,N/A,N/A,N/A,N/A,Potential,Industrial compressor systems
289,Gearboxes - Compressor Manufacturer,Bitzer India Private Limited,Mumbai,Maharashtra,N/A,N/A,Potential,Refrigeration compressor technology
290,Gearboxes - Compressor Manufacturer,Highly Electric Company (India),Ahmedabad,Gujarat,+91-2717-392899,sales@highly.co.in,Potential,Electrical and compressor equipment
291,Gearboxes - Compressor Manufacturer,Freezeking,Delhi,NCR,+91 9899 7010 28,freezekingindustries@gmail.com,Potential,Refrigeration equipment
292,Gearboxes - Compressor Manufacturer,Atlas Copco India,Pune,Maharashtra,+91 77680 80901,info.compressor@atlascopco.com,Yes,Uses ABB Motors/Components
293,Gearboxes - Compressor Manufacturer,Deep Industries Limited,Ahmedabad,Gujarat,+91 2717-298520,info@deepindustries.com,Potential,Process gas compression systems
